## DEGs of mapped genes


## T0s VS T14s ##


## NS (469)
Comparison of groups:  2-1 
                    logFC    logCPM       PValue          FDR
XM_048728488.1 -0.9470386  7.317549 3.937947e-05 1.042781e-03
XM_001638165.3 -0.8605295  5.727493 3.992571e-05 1.053099e-03
XM_001641640.3 -0.9472236  6.624597 4.026652e-05 1.057940e-03
XM_032386904.2 -1.0296301  6.002454 4.084974e-05 1.069087e-03
XM_032373182.2 -0.9071653  4.350004 4.161090e-05 1.084786e-03
XM_032379789.2 -0.8905717  5.479857 4.661926e-05 1.210661e-03
XR_007306602.1 -0.9516567  5.737657 4.751504e-05 1.229177e-03
XM_001638034.3 -0.7993161  4.896712 4.774762e-05 1.230462e-03
XM_048731707.1 -0.9531944  6.927273 4.863069e-05 1.245123e-03
XM_048728359.1  0.7984656  4.331153 4.868677e-05 1.245123e-03
XM_048726055.1  0.8673654  4.533182 4.954602e-05 1.262297e-03
XM_048733807.1 -1.2489487  4.646624 5.171872e-05 1.312680e-03
XM_048733697.1 -1.9312676  5.727576 5.261868e-05 1.330501e-03
XM_048723918.1 -1.2860437  4.519621 5.318953e-05 1.339898e-03
XR_004290963.2 -0.8492996  5.712733 5.438363e-05 1.363288e-03
XM_048730727.1 -0.9622035  5.142384 5.463122e-05 1.363288e-03
XM_048727207.1  0.9179112  6.570249 5.473183e-05 1.363288e-03
XM_048723007.1  0.9118572  9.178537 5.492879e-05 1.363288e-03
XM_001627857.3  1.0104652  5.068280 5.956114e-05 1.472824e-03
XM_001626679.3  0.8446037  4.933394 6.017305e-05 1.482505e-03
XM_048731800.1 -0.7990150  4.802170 6.252674e-05 1.534872e-03
XM_048732164.1  0.9987306  7.117315 6.301781e-05 1.541301e-03
XM_048726662.1  1.0356535  4.903013 6.526325e-05 1.588317e-03
XM_048723116.1 -0.9054692  5.373965 6.541240e-05 1.588317e-03
XM_032364009.2 -1.0170816  5.880389 6.817792e-05 1.649513e-03
XM_001636283.3  0.7590126  4.212061 6.896966e-05 1.662688e-03
XM_001640140.3  0.9194449 11.908077 7.142002e-05 1.712935e-03
XM_032386394.2 -0.8241421  4.643976 7.156330e-05 1.712935e-03
XM_048724215.1 -1.2036064 10.828389 7.209775e-05 1.719608e-03
XM_001627285.3  0.9019086  6.549752 7.341240e-05 1.744777e-03
XM_032367463.2 -0.8795266  4.136991 7.458417e-05 1.761102e-03
XM_001636482.3  1.0683986 10.275549 7.462296e-05 1.761102e-03
XM_001627402.3 -0.8324924  5.218628 7.767470e-05 1.826713e-03
XM_032369557.2  0.8011795  6.586959 7.915347e-05 1.849689e-03
XR_004292730.1 -1.7625392  5.427030 7.920165e-05 1.849689e-03
XM_001627998.3 -1.1003758  5.633631 8.181472e-05 1.904103e-03
XM_001629087.2  0.8143998  5.774393 8.231537e-05 1.909149e-03
XM_048727934.1  1.1111416  5.027865 8.282168e-05 1.914291e-03
XM_032363359.2 -0.7915234  5.313474 8.739868e-05 2.013163e-03
XM_032383991.2 -0.9831027  5.063687 8.840146e-05 2.029311e-03
XM_048724214.1 -1.2600253  9.538534 9.040419e-05 2.066032e-03
XM_048720477.1 -0.9594479  4.401662 9.061543e-05 2.066032e-03
XM_032375246.2  1.1362755  8.858350 9.096102e-05 2.066905e-03
XM_048729736.1 -0.7711542  4.668280 9.168659e-05 2.072401e-03
XM_001638478.3 -0.9120824  9.468158 9.181912e-05 2.072401e-03
XM_032366541.2 -0.8785448  4.568974 9.889436e-05 2.224627e-03
XM_048720915.1  0.9002485  4.787524 9.974615e-05 2.236309e-03
XM_032381347.2 -0.8115028  4.992986 1.003465e-04 2.242295e-03
XM_032382290.2  1.0449214  8.869539 1.033677e-04 2.302157e-03
XM_032362676.2 -0.8717705  4.891231 1.042848e-04 2.314916e-03
XM_001633290.3 -0.8163947  6.406930 1.073454e-04 2.375018e-03
XM_032377004.2 -0.7799824  4.482792 1.080178e-04 2.382059e-03
XM_048726076.1 -0.8334038  4.250048 1.104445e-04 2.427613e-03
XM_032380490.2  0.8271332  4.718379 1.111519e-04 2.432969e-03
XM_001637837.3  0.7330716  4.642970 1.114116e-04 2.432969e-03
XM_032380618.2 -0.6870680  4.172632 1.122778e-04 2.443949e-03
XM_048724447.1  0.9653562  8.552334 1.143917e-04 2.481931e-03
XM_048720624.1 -0.8212629  4.493100 1.158636e-04 2.505783e-03
XM_048734600.1 -0.8383420  4.607316 1.170747e-04 2.523861e-03
XM_048720800.1  0.8691124  9.298658 1.186317e-04 2.549256e-03
XM_001631950.2  0.6914101  4.138890 1.243463e-04 2.663545e-03
XM_048722756.1 -1.2615035  9.450515 1.284734e-04 2.728669e-03
XM_032382789.2  0.8379707  4.322471 1.285260e-04 2.728669e-03
